Name,Description,Category
Admiral,10,Navy Ranks (Pakistan) - Ascending Order
Liaquat Ali Khan,1947,Prime Ministers of Pakistan - Chronological (First 10)
Khawaja Nazimuddin,1951,Prime Ministers of Pakistan - Chronological (First 10)
Muhammad Ali Bogra,1953,Prime Ministers of Pakistan - Chronological (First 10)
Chaudhry Muhammad Ali,1955,Prime Ministers of Pakistan - Chronological (First 10)
Huseyn Shaheed Suhrawardy,1956,Prime Ministers of Pakistan - Chronological (First 10)
I.I. Chundrigar,1957,Prime Ministers of Pakistan - Chronological (First 10)
Feroz Khan Noon,1957,Prime Ministers of Pakistan - Chronological (First 10)
Nurul Amin,1971,Prime Ministers of Pakistan - Chronological (First 10)
Zulfikar Ali Bhutto,1973,Prime Ministers of Pakistan - Chronological (First 10)
Muhammad Khan Junejo (1985) *(Skipping martial law admins who weren't PM)*,10,Prime Ministers of Pakistan - Chronological (First 10)
Iskander Mirza,1956,Presidents of Pakistan - Chronological
Ayub Khan,1958,Presidents of Pakistan - Chronological
Yahya Khan,1969,Presidents of Pakistan - Chronological
Zulfikar Ali Bhutto,1971,Presidents of Pakistan - Chronological
Fazal Ilahi Chaudhry,1973,Presidents of Pakistan - Chronological
Muhammad Zia-ul-Haq,1978,Presidents of Pakistan - Chronological
Ghulam Ishaq Khan,1988,Presidents of Pakistan - Chronological
Farooq Leghari,1993,Presidents of Pakistan - Chronological
Muhammad Rafiq Tarar,1998,Presidents of Pakistan - Chronological
Pervez Musharraf,2001,Presidents of Pakistan - Chronological
West Indies,1975,Cricket World Cup Winners (Chronological)
West Indies,1979,Cricket World Cup Winners (Chronological)
India,1983,Cricket World Cup Winners (Chronological)
Australia,1987,Cricket World Cup Winners (Chronological)
Pakistan,1992,Cricket World Cup Winners (Chronological)
Sri Lanka,1996,Cricket World Cup Winners (Chronological)
Australia,1999,Cricket World Cup Winners (Chronological)
Australia,2003,Cricket World Cup Winners (Chronological)
Australia,2007,Cricket World Cup Winners (Chronological)
India,2011,Cricket World Cup Winners (Chronological)
Troposphere,1,Layers of Atmosphere (Ascending Altitude)
Stratosphere,2,Layers of Atmosphere (Ascending Altitude)
Mesosphere,3,Layers of Atmosphere (Ascending Altitude)
Thermosphere,4,Layers of Atmosphere (Ascending Altitude)
Exosphere,5,Layers of Atmosphere (Ascending Altitude)
Crust,1,Layers of Earth (Outside In)
Mantle,2,Layers of Earth (Outside In)
Outer Core,3,Layers of Earth (Outside In)
Inner Core,4,Layers of Earth (Outside In)
Nano,10^-9,SI Prefixes (Ascending Size - Small)
Micro,10^-6,SI Prefixes (Ascending Size - Small)
Milli,10^-3,SI Prefixes (Ascending Size - Small)
Centi,10^-2,SI Prefixes (Ascending Size - Small)
Deci,10^-1,SI Prefixes (Ascending Size - Small)
Kilo,10^3,SI Prefixes (Ascending Size - Small)
Mega,10^6,SI Prefixes (Ascending Size - Small)
Giga,10^9,SI Prefixes (Ascending Size - Small)
Tera,10^12,SI Prefixes (Ascending Size - Small)
"Masjid al-Haram (Pre-Islamic/Ageless) -> *Maybe use ""First expansion"" or specific mosques*",1,Famous Mosques Construction (Chronological - Estimated)
Quba Mosque,622 CE,Famous Mosques Construction (Chronological - Estimated)
Al-Masjid an-Nabawi,622 CE,Famous Mosques Construction (Chronological - Estimated)
Dome of the Rock,691 CE,Famous Mosques Construction (Chronological - Estimated)
Al-Aqsa Mosque,705 CE - reconstruction,Famous Mosques Construction (Chronological - Estimated)
Great Mosque of Cordoba,784 CE,Famous Mosques Construction (Chronological - Estimated)
Great Mosque of Samarra,848 CE,Famous Mosques Construction (Chronological - Estimated)
Al-Azhar Mosque,970 CE,Famous Mosques Construction (Chronological - Estimated)
Badshahi Mosque,1673 CE,Famous Mosques Construction (Chronological - Estimated)
Faisal Mosque,1986 CE,Famous Mosques Construction (Chronological - Estimated)
Hydrogen,1,Elements (Atomic Number 1-10)
Helium,2,Elements (Atomic Number 1-10)
Lithium,3,Elements (Atomic Number 1-10)
Beryllium,4,Elements (Atomic Number 1-10)
Boron,5,Elements (Atomic Number 1-10)
Carbon,6,Elements (Atomic Number 1-10)
Nitrogen,7,Elements (Atomic Number 1-10)
Oxygen,8,Elements (Atomic Number 1-10)
Fluorine,9,Elements (Atomic Number 1-10)
Neon,10,Elements (Atomic Number 1-10)
Muharram,1,Islamic Months (Chronological)
Safar,2,Islamic Months (Chronological)
Rabi al-Awwal,3,Islamic Months (Chronological)
Rabi al-Thani,4,Islamic Months (Chronological)
Jumada al-Awwal,5,Islamic Months (Chronological)
Jumada al-Thani,6,Islamic Months (Chronological)
Rajab,7,Islamic Months (Chronological)
Sha'ban,8,Islamic Months (Chronological)
Ramadan,9,Islamic Months (Chronological)
Shawwal,10,Islamic Months (Chronological)
Abu Bakr,13 AH,Ashara Mubashara (Chronological Death)
Abu Ubaidah ibn al-Jarrah,18 AH,Ashara Mubashara (Chronological Death)
Umar ibn al-Khattab,23 AH,Ashara Mubashara (Chronological Death)
Abdur Rahman ibn Awf,32 AH,Ashara Mubashara (Chronological Death)
Uthman ibn Affan,35 AH,Ashara Mubashara (Chronological Death)
Talha ibn Ubaydillah,36 AH,Ashara Mubashara (Chronological Death)
Zubayr ibn al-Awwam,36 AH,Ashara Mubashara (Chronological Death)
Ali ibn Abi Talib,40 AH,Ashara Mubashara (Chronological Death)
Said ibn Zayd,51 AH,Ashara Mubashara (Chronological Death)
Sa'd ibn Abi Waqqas,55 AH,Ashara Mubashara (Chronological Death)
Al-Kawthar,3,Shortest Surahs (Ayat Count - Ascending)
Al-Asr,3,Shortest Surahs (Ayat Count - Ascending)
Al-Nasr,3,Shortest Surahs (Ayat Count - Ascending)
Quraysh,4,Shortest Surahs (Ayat Count - Ascending)
Al-Ikhlas,4,Shortest Surahs (Ayat Count - Ascending)
Al-Masad,5,Shortest Surahs (Ayat Count - Ascending)
Al-Fil,5,Shortest Surahs (Ayat Count - Ascending)
Al-Falaq,5,Shortest Surahs (Ayat Count - Ascending)
An-Nas,6,Shortest Surahs (Ayat Count - Ascending)
Al-Kafirun,6,Shortest Surahs (Ayat Count - Ascending)
Cheetah,1,Fastest Land Animals (Top Speed)
Pronghorn,2,Fastest Land Animals (Top Speed)
Springbok,3,Fastest Land Animals (Top Speed)
Wildebeest,4,Fastest Land Animals (Top Speed)
Lion,5,Fastest Land Animals (Top Speed)
Thompson's Gazelle,6,Fastest Land Animals (Top Speed)
Mount Everest,1,Highest Mountains (Height)
K2,2,Highest Mountains (Height)
Kangchenjunga,3,Highest Mountains (Height)
Lhotse,4,Highest Mountains (Height)
Makalu,5,Highest Mountains (Height)
Cho Oyu,6,Highest Mountains (Height)
Dhaulagiri,7,Highest Mountains (Height)
Manaslu,8,Highest Mountains (Height)
Nanga Parbat,9,Highest Mountains (Height)
Annapurna,10,Highest Mountains (Height)
Pacific Ocean,1,Largest Oceans (Area)
Atlantic Ocean,2,Largest Oceans (Area)
Indian Ocean,3,Largest Oceans (Area)
Southern Ocean,4,Largest Oceans (Area)
Arctic Ocean,5,Largest Oceans (Area)
ARPANET,1969,Internet Milestones (Chronological)
Email,1971,Internet Milestones (Chronological)
TCP/IP,1983,Internet Milestones (Chronological)
World Wide Web,1989,Internet Milestones (Chronological)
First Website,1991,Internet Milestones (Chronological)
Google,1998,Internet Milestones (Chronological)
Wikipedia,2001,Internet Milestones (Chronological)
Facebook,2004,Internet Milestones (Chronological)
YouTube,2005,Internet Milestones (Chronological)
iPhone,2007 - Mobile Internet Era,Internet Milestones (Chronological)
Triangle,3,Geometric Shapes (Sides - Ascending)
Quadrilateral,4,Geometric Shapes (Sides - Ascending)
Pentagon,5,Geometric Shapes (Sides - Ascending)
Hexagon,6,Geometric Shapes (Sides - Ascending)
Heptagon,7,Geometric Shapes (Sides - Ascending)
Octagon,8,Geometric Shapes (Sides - Ascending)
Nonagon,9,Geometric Shapes (Sides - Ascending)
Decagon,10,Geometric Shapes (Sides - Ascending)
Hendecagon,11,Geometric Shapes (Sides - Ascending)
Dodecagon,12,Geometric Shapes (Sides - Ascending)
Talc,1,Mohs Hardness Scale (Ascending)
Gypsum,2,Mohs Hardness Scale (Ascending)
Calcite,3,Mohs Hardness Scale (Ascending)
Fluorite,4,Mohs Hardness Scale (Ascending)
Apatite,5,Mohs Hardness Scale (Ascending)
Orthoclase Feldspar,6,Mohs Hardness Scale (Ascending)
Quartz,7,Mohs Hardness Scale (Ascending)
Topaz,8,Mohs Hardness Scale (Ascending)
Corundum,9,Mohs Hardness Scale (Ascending)
Diamond,10,Mohs Hardness Scale (Ascending)
Red,~700nm,Rainbow Colors (Wavelength - Long to Short)
Orange,~600nm,Rainbow Colors (Wavelength - Long to Short)
Yellow,~580nm,Rainbow Colors (Wavelength - Long to Short)
Green,~540nm,Rainbow Colors (Wavelength - Long to Short)
Blue,~470nm,Rainbow Colors (Wavelength - Long to Short)
Indigo,~445nm,Rainbow Colors (Wavelength - Long to Short)
Violet,~400nm,Rainbow Colors (Wavelength - Long to Short)
Zygote,1,Life Stages (Human - Chronological)
Embryo,2,Life Stages (Human - Chronological)
Fetus,3,Life Stages (Human - Chronological)
Neonate,Newborn,Life Stages (Human - Chronological)
Infant,5,Life Stages (Human - Chronological)
Toddler,6,Life Stages (Human - Chronological)
Child,7,Life Stages (Human - Chronological)
Adolescent,8,Life Stages (Human - Chronological)
Adult,9,Life Stages (Human - Chronological)
Senior,10,Life Stages (Human - Chronological)
Argon,18,Noble Gases (Atomic Number)
Krypton,36,Noble Gases (Atomic Number)
Xenon,54,Noble Gases (Atomic Number)
Radon,86,Noble Gases (Atomic Number)
Oganesson,118,Noble Gases (Atomic Number)
Chlorine,17,Halogens (Atomic Number)
Bromine,35,Halogens (Atomic Number)
Iodine,53,Halogens (Atomic Number)
Astatine,85,Halogens (Atomic Number)
Tennessine,117,Halogens (Atomic Number)
Sodium,11,Alkali Metals (Atomic Number)
Potassium,19,Alkali Metals (Atomic Number)
Rubidium,37,Alkali Metals (Atomic Number)
Cesium,55,Alkali Metals (Atomic Number)
Francium,87,Alkali Metals (Atomic Number)
Million,10^6,Large Numbers (Powers of 10)
Billion,10^9,Large Numbers (Powers of 10)
Trillion,10^12,Large Numbers (Powers of 10)
Quadrillion,10^15,Large Numbers (Powers of 10)
Quintillion,10^18,Large Numbers (Powers of 10)
Sextillion,10^21,Large Numbers (Powers of 10)
Septillion,10^24,Large Numbers (Powers of 10)
Octillion,10^27,Large Numbers (Powers of 10)
Nonillion,10^30,Large Numbers (Powers of 10)
Decillion,10^33,Large Numbers (Powers of 10)
Bit,1,Computer Bytes (Size - Ascending)
Byte,8 bits,Computer Bytes (Size - Ascending)
Kilobyte,1024 bytes,Computer Bytes (Size - Ascending)
Megabyte,4,Computer Bytes (Size - Ascending)
Gigabyte,5,Computer Bytes (Size - Ascending)
Terabyte,6,Computer Bytes (Size - Ascending)
Petabyte,7,Computer Bytes (Size - Ascending)
Exabyte,8,Computer Bytes (Size - Ascending)
Zettabyte,9,Computer Bytes (Size - Ascending)
Yottabyte,10,Computer Bytes (Size - Ascending)
Snail,0.01 m/s,Speeds (Ascending order approx)
Human Walking,1.4 m/s,Speeds (Ascending order approx)
Cheetah,30 m/s,Speeds (Ascending order approx)
Sound in Air,343 m/s,Speeds (Ascending order approx)
Bullet,"1,000 m/s",Speeds (Ascending order approx)
Sound in Water,"1,500 m/s",Speeds (Ascending order approx)
"Earth Rotation (460 m/s - Wait, at equator?) -> Use ""Escape Velocity"" maybe? Or keep simple.",7,Speeds (Ascending order approx)
Voyager 1,"17,000 m/s",Speeds (Ascending order approx)
Earth Orbit Speed,"30,000 m/s",Speeds (Ascending order approx)
Light,"300,000,000 m/s",Speeds (Ascending order approx)
Lithium,0.53 g/cm3,Densities of Metals (Ascending)
Potassium,0.89 g/cm3,Densities of Metals (Ascending)
Sodium,0.97 g/cm3,Densities of Metals (Ascending)
Aluminum,2.7 g/cm3,Densities of Metals (Ascending)
Titanium,4.5 g/cm3,Densities of Metals (Ascending)
Zinc,7.1 g/cm3,Densities of Metals (Ascending)
Iron,7.8 g/cm3,Densities of Metals (Ascending)
Copper,8.96 g/cm3,Densities of Metals (Ascending)
Silver,10.49 g/cm3,Densities of Metals (Ascending)
Lead,11.3 g/cm3,Densities of Metals (Ascending)
2,1,Prime Numbers (First 10)
3,2,Prime Numbers (First 10)
5,3,Prime Numbers (First 10)
7,4,Prime Numbers (First 10)
11,5,Prime Numbers (First 10)
13,6,Prime Numbers (First 10)
17,7,Prime Numbers (First 10)
19,8,Prime Numbers (First 10)
23,9,Prime Numbers (First 10)
29,10,Prime Numbers (First 10)
0,1,Fibonacci Sequence (First 10)
1,2,Fibonacci Sequence (First 10)
1,3,Fibonacci Sequence (First 10)
2,4,Fibonacci Sequence (First 10)
3,5,Fibonacci Sequence (First 10)
5,6,Fibonacci Sequence (First 10)
8,7,Fibonacci Sequence (First 10)
13,8,Fibonacci Sequence (First 10)
21,9,Fibonacci Sequence (First 10)
34,10,Fibonacci Sequence (First 10)
1,1^2,Perfect Squares (Values)
4,2^2,Perfect Squares (Values)
9,3^2,Perfect Squares (Values)
16,4^2,Perfect Squares (Values)
25,5^2,Perfect Squares (Values)
36,6^2,Perfect Squares (Values)
49,7^2,Perfect Squares (Values)
64,8^2,Perfect Squares (Values)
81,9^2,Perfect Squares (Values)
100,10^2,Perfect Squares (Values)
1,1^3,Perfect Cubes (Values)
8,2^3,Perfect Cubes (Values)
27,3^3,Perfect Cubes (Values)
64,4^3,Perfect Cubes (Values)
125,5^3,Perfect Cubes (Values)
216,6^3,Perfect Cubes (Values)
343,7^3,Perfect Cubes (Values)
512,8^3,Perfect Cubes (Values)
729,9^3,Perfect Cubes (Values)
1000,10^3,Perfect Cubes (Values)
Windows 3.1,1992,Windows Versions (Chronological Retail Release)
Windows 95,1995,Windows Versions (Chronological Retail Release)
Windows 98,1998,Windows Versions (Chronological Retail Release)
Windows ME,2000,Windows Versions (Chronological Retail Release)
Windows XP,2001,Windows Versions (Chronological Retail Release)
Windows Vista,2006,Windows Versions (Chronological Retail Release)
Windows 7,2009,Windows Versions (Chronological Retail Release)
Windows 8,2012,Windows Versions (Chronological Retail Release)
Windows 10,2015,Windows Versions (Chronological Retail Release)
Windows 11,2021,Windows Versions (Chronological Retail Release)
iPhone,2007,iPhone Models (Chronological Launch)
iPhone 3G,2008,iPhone Models (Chronological Launch)
iPhone 4,2010,iPhone Models (Chronological Launch)
iPhone 5,2012,iPhone Models (Chronological Launch)
iPhone 6,2014,iPhone Models (Chronological Launch)
iPhone 7,2016,iPhone Models (Chronological Launch)
iPhone X,2017,iPhone Models (Chronological Launch)
iPhone 11,2019,iPhone Models (Chronological Launch)
iPhone 12,2020,iPhone Models (Chronological Launch)
iPhone 13,2021,iPhone Models (Chronological Launch)
Cupcake,1.5,Android Versions (Chronological)
Donut,1.6,Android Versions (Chronological)
Eclair,2.0,Android Versions (Chronological)
Froyo,2.2,Android Versions (Chronological)
Gingerbread,2.3,Android Versions (Chronological)
Honeycomb,3.0,Android Versions (Chronological)
Ice Cream Sandwich,4.0,Android Versions (Chronological)
Jelly Bean,4.1,Android Versions (Chronological)
KitKat,4.4,Android Versions (Chronological)
Lollipop,5.0,Android Versions (Chronological)
PlayStation,1994,PlayStation Consoles (Chronological)
PlayStation 2,2000,PlayStation Consoles (Chronological)
PlayStation Portable (PSP),2004,PlayStation Consoles (Chronological)
PlayStation 3,2006,PlayStation Consoles (Chronological)
PlayStation Vita,2011,PlayStation Consoles (Chronological)
PlayStation 4,2013,PlayStation Consoles (Chronological)
PlayStation 5,2020,PlayStation Consoles (Chronological)
Xbox,2001,Xbox Consoles (Chronological)
Xbox 360,2005,Xbox Consoles (Chronological)
Xbox One,2013,Xbox Consoles (Chronological)
Xbox One S,2016,Xbox Consoles (Chronological)
Xbox One X,2017,Xbox Consoles (Chronological)
Xbox Series X/S,2020,Xbox Consoles (Chronological)
NES,1983,Nintendo Home Consoles (Chronological)
SNES,1990,Nintendo Home Consoles (Chronological)
Nintendo 64,1996,Nintendo Home Consoles (Chronological)
GameCube,2001,Nintendo Home Consoles (Chronological)
Wii,2006,Nintendo Home Consoles (Chronological)
Wii U,2012,Nintendo Home Consoles (Chronological)
Switch,2017,Nintendo Home Consoles (Chronological)
1G,Analog,Mobile Network Generations (Chronological)
2G,Digital/GSM,Mobile Network Generations (Chronological)
2.5G,GPRS,Mobile Network Generations (Chronological)
2.75G,EDGE,Mobile Network Generations (Chronological)
3G,UMTS,Mobile Network Generations (Chronological)
3.5G,HSPA,Mobile Network Generations (Chronological)
4G,LTE,Mobile Network Generations (Chronological)
5G,NR,Mobile Network Generations (Chronological)
A0,1 m^2,Paper Sizes (Area - Descending)
A1,2,Paper Sizes (Area - Descending)
A2,3,Paper Sizes (Area - Descending)
A3,4,Paper Sizes (Area - Descending)
A4,5,Paper Sizes (Area - Descending)
A5,6,Paper Sizes (Area - Descending)
A6,7,Paper Sizes (Area - Descending)
A7,8,Paper Sizes (Area - Descending)
A8,9,Paper Sizes (Area - Descending)
A9,10,Paper Sizes (Area - Descending)
5 Rupee,"Coin now, but was note",Pak Rupee Notes (Value)
10 Rupee,2,Pak Rupee Notes (Value)
20 Rupee,3,Pak Rupee Notes (Value)
50 Rupee,4,Pak Rupee Notes (Value)
75 Rupee,Commemorative,Pak Rupee Notes (Value)
100 Rupee,6,Pak Rupee Notes (Value)
500 Rupee,7,Pak Rupee Notes (Value)
1000 Rupee,8,Pak Rupee Notes (Value)
5000 Rupee,9,Pak Rupee Notes (Value)
Second,1,Time Units (Ascending)
Minute,2,Time Units (Ascending)
Hour,3,Time Units (Ascending)
Day,4,Time Units (Ascending)
Week,5,Time Units (Ascending)
Month,Avg,Time Units (Ascending)
Year,7,Time Units (Ascending)
Decade,8,Time Units (Ascending)
Century,9,Time Units (Ascending)
Millennium,10,Time Units (Ascending)
Paper,1st,Wedding Anniversaries (Traditional)
Wood,5th,Wedding Anniversaries (Traditional)
Tin,10th,Wedding Anniversaries (Traditional)
Crystal,15th,Wedding Anniversaries (Traditional)
China,20th,Wedding Anniversaries (Traditional)
Silver,25th,Wedding Anniversaries (Traditional)
Pearl,30th,Wedding Anniversaries (Traditional)
Ruby,40th,Wedding Anniversaries (Traditional)
Gold,50th,Wedding Anniversaries (Traditional)
Diamond,60th,Wedding Anniversaries (Traditional)
I,1,Roman Numerals (Value)
V,5,Roman Numerals (Value)
X,10,Roman Numerals (Value)
L,50,Roman Numerals (Value)
C,100,Roman Numerals (Value)
D,500,Roman Numerals (Value)
M,1000,Roman Numerals (Value)
Red,1,Snooker Balls (Points)
Yellow,2,Snooker Balls (Points)
Green,3,Snooker Balls (Points)
Brown,4,Snooker Balls (Points)
Blue,5,Snooker Balls (Points)
Pink,6,Snooker Balls (Points)
Black,7,Snooker Balls (Points)
1st Place,25 pts,F1 Points System (2024 System)
2nd Place,18 pts,F1 Points System (2024 System)
3rd Place,15 pts,F1 Points System (2024 System)
4th Place,12 pts,F1 Points System (2024 System)
5th Place,10 pts,F1 Points System (2024 System)
6th Place,8 pts,F1 Points System (2024 System)
7th Place,6 pts,F1 Points System (2024 System)
8th Place,4 pts,F1 Points System (2024 System)
9th Place,2 pts,F1 Points System (2024 System)
10th Place,1 pt,F1 Points System (2024 System)
Love,0,Tennis Scores (Sequence in Game)
15,2,Tennis Scores (Sequence in Game)
30,3,Tennis Scores (Sequence in Game)
40,4,Tennis Scores (Sequence in Game)
Deuce,5,Tennis Scores (Sequence in Game)
Advantage,6,Tennis Scores (Sequence in Game)
Game,7,Tennis Scores (Sequence in Game)
High Card,1,Poker Hands (Rank - Low to High)
Pair,2,Poker Hands (Rank - Low to High)
Two Pair,3,Poker Hands (Rank - Low to High)
Three of a Kind,4,Poker Hands (Rank - Low to High)
Straight,5,Poker Hands (Rank - Low to High)
Flush,6,Poker Hands (Rank - Low to High)
Full House,7,Poker Hands (Rank - Low to High)
Four of a Kind,8,Poker Hands (Rank - Low to High)
Straight Flush,9,Poker Hands (Rank - Low to High)
Royal Flush,10,Poker Hands (Rank - Low to High)
Pawn,1,Chess Pieces (Relative Value)
Knight,3,Chess Pieces (Relative Value)
Bishop,3,Chess Pieces (Relative Value)
Rook,5,Chess Pieces (Relative Value)
Queen,9,Chess Pieces (Relative Value)
King,Infinite/Game End,Chess Pieces (Relative Value)
Niyyah,Intention,Wudu Steps (Sunnah Order)
Washing Hands,x3,Wudu Steps (Sunnah Order)
Rinsing Mouth,x3,Wudu Steps (Sunnah Order)
Rinsing Nose,x3,Wudu Steps (Sunnah Order)
Washing Face,x3,Wudu Steps (Sunnah Order)
Washing Arms,x3,Wudu Steps (Sunnah Order)
Masah,Head/Ears,Wudu Steps (Sunnah Order)
Washing Feet,x3,Wudu Steps (Sunnah Order)
Fajr,Dawn,Daily Prayers (Chronological)
Dhuhr,Noon,Daily Prayers (Chronological)
Asr,Afternoon,Daily Prayers (Chronological)
Maghrib,Sunset,Daily Prayers (Chronological)
Isha,Night,Daily Prayers (Chronological)
Alif,1,Huruf-e-Tahajji (First 10)
Bay,2,Huruf-e-Tahajji (First 10)
Pay,3,Huruf-e-Tahajji (First 10)
Tay,4,Huruf-e-Tahajji (First 10)
Tay,Hard T,Huruf-e-Tahajji (First 10)
Say,6,Huruf-e-Tahajji (First 10)
Jeem,7,Huruf-e-Tahajji (First 10)
Chay,8,Huruf-e-Tahajji (First 10)
Hay,9,Huruf-e-Tahajji (First 10)
Khay,10,Huruf-e-Tahajji (First 10)
Imam Abu Hanifa,80 AH,4 Imams (Chronological Birth)
Imam Malik,93 AH,4 Imams (Chronological Birth)
Imam Al-Shafi'i,150 AH,4 Imams (Chronological Birth)
Imam Ahmad ibn Hanbal,164 AH,4 Imams (Chronological Birth)
Sahih al-Bukhari,256 AH,Kutub al-Sittah (Chronological Author Death)
Sahih Muslim,261 AH,Kutub al-Sittah (Chronological Author Death)
Sunan Ibn Majah,273 AH,Kutub al-Sittah (Chronological Author Death)
Sunan Abi Dawud,275 AH,Kutub al-Sittah (Chronological Author Death)
Jami al-Tirmidhi,279 AH,Kutub al-Sittah (Chronological Author Death)
